,Beta,Gini,Total,Group_probs,Group,Time Window Size
11,5000,0.020280146788746387,0.25492214902395444,"{0: 0.25485199503741607, 1: 0.2562887532476676, 9: 0.2692906967872684, 8: 0.242119634857397}",VeteranStatus,30
12,7500,0.023784285111313717,0.2573713423133438,"{0: 0.2572829732528022, 1: 0.25909794877939357, 9: 0.2742661328859866, 8: 0.242119634857397}",VeteranStatus,30
13,10000,0.023701986866551082,0.2576820152971163,"{0: 0.25760832255637894, 1: 0.2591158626131945, 9: 0.2742661328859866, 8: 0.242119634857397}",VeteranStatus,30
0,0,0.16238933096979735,0.21498977117138132,"{0: 0.20253046879766495, 1: 0.2958919568242783, 8: 0.2495749629168413, 9: 0.1229883908624405}",DisablingCondition,30
1,10,0.11579624945410683,0.21606399570077003,"{0: 0.20687693607771687, 1: 0.2766975456309917, 8: 0.2335601352430274, 9: 0.358583260130939}",DisablingCondition,30
2,25,0.11203463790449453,0.22057228285866132,"{0: 0.2128219882445541, 1: 0.2726629408889117, 8: 0.22904387178541627, 9: 0.358583260130939}",DisablingCondition,30
3,50,0.10047174453555421,0.23100927979245167,"{0: 0.22450778296667445, 1: 0.2748590654289965, 8: 0.2370280383441399, 9: 0.358583260130939}",DisablingCondition,30
4,75,0.09294361870277844,0.23823928757429155,"{0: 0.23226168187928584, 1: 0.2785629903289666, 8: 0.2437019012822343, 9: 0.358583260130939}",DisablingCondition,30
5,100,0.08628057995106601,0.24467350737930976,"{0: 0.23927124802078478, 1: 0.2811164908863337, 8: 0.2495683939264051, 9: 0.358583260130939}",DisablingCondition,30
6,250,0.07481116110282086,0.25679059706092394,"{0: 0.25212965565206075, 1: 0.2882867366513246, 8: 0.26063353058716804, 9: 0.358583260130939}",DisablingCondition,30
7,500,0.0667194145328728,0.26588156253415174,"{0: 0.2616675533710489, 1: 0.2943817729873589, 8: 0.2691924420207963, 9: 0.358583260130939}",DisablingCondition,30
8,750,0.0645341350454522,0.2685743727787626,"{0: 0.2644003816836436, 1: 0.2968178168347816, 8: 0.2717766117319257, 9: 0.358583260130939}",DisablingCondition,30
9,1000,0.06443586099565626,0.26872411087237236,"{0: 0.2645473291445497, 1: 0.29699514400754684, 8: 0.2718730621966419, 9: 0.358583260130939}",DisablingCondition,30
10,2500,0.06105130336917309,0.2723736092715792,"{0: 0.2683662891665146, 1: 0.2993563853886278, 8: 0.27631981929771887, 9: 0.358583260130939}",DisablingCondition,30
11,5000,0.061057027733650245,0.2723422561734163,"{0: 0.2683347788405535, 1: 0.29931588543709325, 8: 0.27635524759854274, 9: 0.358583260130939}",DisablingCondition,30
12,7500,0.061036645285348766,0.2723787468321291,"{0: 0.26837262676893275, 1: 0.2993486131860617, 8: 0.27635524759854274, 9: 0.358583260130939}",DisablingCondition,30
13,10000,0.061036645285348766,0.2723787468321291,"{0: 0.26837262676893275, 1: 0.2993486131860617, 8: 0.27635524759854274, 9: 0.358583260130939}",DisablingCondition,30
0,0,0.10745496953708546,0.21498977117138132,"{-1: 0.2098631262472127, 8: 0.25675658788598155, 2: 0.1629953413401296, 1: 0.23327448776421644, 3: 0.15567717713181917, 4: 0.1637942481595853}",HousingStatusAtEntry,30
1,10,0.07912238112546663,0.21654038635288633,"{-1: 0.2266318649768752, 8: 0.24587337619739075, 2: 0.17645188768567455, 1: 0.23027629677303807, 3: 0.17161628953957525, 4: 0.17665293188839168}",HousingStatusAtEntry,30
2,25,0.06748048917547476,0.21879818620103308,"{-1: 0.23257724569039012, 8: 0.24335415826772552, 2: 0.18389624135077137, 1: 0.23002248196673547, 3: 0.18046305774658655, 4: 0.18354872940898173}",HousingStatusAtEntry,30
3,50,0.05267100149337178,0.223475110772142,"{-1: 0.2358783709244031, 8: 0.24310492598966083, 2: 0.19525094813520544, 1: 0.2316540110308873, 3: 0.19254352582572218, 4: 0.1969643960700911}",HousingStatusAtEntry,30
4,75,0.03822279019522652,0.22853925378001574,"{-1: 0.2376573955252194, 8: 0.24324959886063904, 2: 0.20757610119123857, 1: 0.23457327956084909, 3: 0.20533927605987753, 4: 0.20790576463648544}",HousingStatusAtEntry,30
5,100,0.03161288793432931,0.23108865794837172,"{-1: 0.23846944047731436, 8: 0.24354597528777455, 2: 0.21321647278881323, 1: 0.2364704061960837, 3: 0.21156437115666546, 4: 0.21458386914095762}",HousingStatusAtEntry,30
6,250,0.01780935507840158,0.2380627957097779,"{-1: 0.240713585109747, 8: 0.24549630500222175, 2: 0.2277389901020073, 1: 0.24204077719262534, 3: 0.22627411420517557, 4: 0.22893469310176073}",HousingStatusAtEntry,30
7,500,0.012034235641992496,0.2422887267159938,"{-1: 0.24211183657494037, 8: 0.24766063636754618, 2: 0.23532852752339983, 1: 0.2453585037049615, 3: 0.23393265301192798, 4: 0.23678116568747296}",HousingStatusAtEntry,30
8,750,0.009698153401747686,0.2439443185481538,"{-1: 0.24236764388692833, 8: 0.24857660452019986, 2: 0.23829095016651367, 1: 0.24650359983951622, 3: 0.23717722894958565, 4: 0.2394886127515743}",HousingStatusAtEntry,30
9,1000,0.008859258510591484,0.24461988550137712,"{-1: 0.24242547777836704, 8: 0.2490448270857601, 2: 0.23933443257083215, 1: 0.24693666731577074, 3: 0.23832771552172116, 4: 0.24134793322529124}",HousingStatusAtEntry,30
10,2500,0.007189512268022794,0.24639288503256399,"{-1: 0.2425845963109001, 8: 0.25020276178562967, 2: 0.24249104801595284, 1: 0.24823632590139302, 3: 0.2411923561414215, 4: 0.24363679249521716}",HousingStatusAtEntry,30
11,5000,0.007561394353792893,0.24710653968795443,"{-1: 0.24264124304056514, 8: 0.2510036877988154, 2: 0.24316419212525545, 1: 0.24903639336254252, 3: 0.24188563868980772, 4: 0.24521359218388653}",HousingStatusAtEntry,30
