,Beta,Gini,Total,Group_probs,Group,Time Window Size
10,0.7,0.047003471225183995,0.25080447837621905,"{3: 0.24930210821012244, 5: 0.25832616349362886, 1: 0.25593584248711354, 8: 0.25799019314498883, 2: 0.2608049454175739, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
11,0.75,0.04448487908553368,0.2557210429881754,"{3: 0.25535374927623905, 5: 0.2575615515058517, 1: 0.2572321786157299, 8: 0.2574973102018583, 2: 0.2608049454175739, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
12,0.8,0.044232915823345605,0.25856525277122533,"{3: 0.2585314014802167, 5: 0.2587753307526258, 1: 0.25618741729701733, 8: 0.2587932875481208, 2: 0.2608049454175739, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
13,0.9,0.0454846652089384,0.2557251212553185,"{3: 0.255400059274477, 5: 0.25755206397957503, 1: 0.2505959318105327, 8: 0.25590700850905723, 2: 0.2584740430549208, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
14,0.95,0.0434077325864357,0.2594650686052301,"{3: 0.2595765602950182, 5: 0.2590110588609966, 1: 0.25694998304022343, 8: 0.25847575274531837, 2: 0.2584740430549208, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
15,0.99,0.044617058560020996,0.26105113878770053,"{3: 0.26091862693421425, 5: 0.2619833094388199, 1: 0.25907566405310506, 8: 0.25943475505914176, 2: 0.25964088250795236, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
16,0.999,0.04395959410721907,0.2608438193394026,"{3: 0.26099894141776553, 5: 0.26013639511722536, 1: 0.25907566405310506, 8: 0.25998293445099946, 2: 0.25964088250795236, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
17,0.9995,0.04395959410721907,0.2608438193394026,"{3: 0.26099894141776553, 5: 0.26013639511722536, 1: 0.25907566405310506, 8: 0.25998293445099946, 2: 0.25964088250795236, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
18,0.9999,0.04395959410721907,0.2608438193394026,"{3: 0.26099894141776553, 5: 0.26013639511722536, 1: 0.25907566405310506, 8: 0.25998293445099946, 2: 0.25964088250795236, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
19,1.0,0.04395959410721907,0.2608438193394026,"{3: 0.26099894141776553, 5: 0.26013639511722536, 1: 0.25907566405310506, 8: 0.25998293445099946, 2: 0.25964088250795236, 0: 0.173646073431281, 4: 0.258387896632793}",PrimaryRace,30
0,0.0,0.006530217843243372,0.21498977117138132,"{0: 0.21308307835811932, 1: 0.21872264929316554}",Gender,30
1,0.05,0.00024305481806985855,0.21965513539719983,"{0: 0.21958292352234052, 1: 0.21979651009894544}",Gender,30
2,0.1,0.00013967432937671135,0.22532284617893417,"{0: 0.22528028087217328, 1: 0.22540617953040507}",Gender,30
3,0.15,0.00022262782961365727,0.22928792049484606,"{0: 0.2292188777725629, 1: 0.2294230907045865}",Gender,30
4,0.2,0.00043569887625665257,0.23407542018324304,"{0: 0.23393745818623052, 1: 0.23434551892002115}",Gender,30
5,0.25,0.000326410832331527,0.23849417517691082,"{0: 0.23838887506956716, 1: 0.23870032923811607}",Gender,30
6,0.3,0.000144293452650397,0.24692238201366498,"{0: 0.24687419363361315, 1: 0.24701672408511377}",Gender,30
7,0.4,0.00015018156673131142,0.26099374500764727,"{0: 0.2609407318552877, 1: 0.2610975329042783}",Gender,30
8,0.5,0.001062665453772922,0.27976214755920203,"{0: 0.2793598205725506, 1: 0.2805498138239662}",Gender,30
9,0.6,0.0004093031021700648,0.28423539412913773,"{0: 0.2840780201275691, 1: 0.284543497229599}",Gender,30
10,0.7,0.00029474519080839487,0.28640884019367535,"{0: 0.28629465475819205, 1: 0.28663238974029204}",Gender,30
11,0.75,0.00033552873618981693,0.2895123631752237,"{0: 0.28964370321123073, 1: 0.28925522875718074}",Gender,30
12,0.8,0.0002306917012444919,0.29046468380090706,"{0: 0.2905552894101577, 1: 0.29028729828073835}",Gender,30
13,0.9,0.0003044760551299888,0.2922141337015839,"{0: 0.2923344330818036, 1: 0.2919786144184759}",Gender,30
14,0.95,0.00018030092901265757,0.2923449047196651,"{0: 0.2924161797550564, 1: 0.2922053641400862}",Gender,30
15,0.99,0.00039573957852878525,0.29289427143330576,"{0: 0.2930509839658604, 1: 0.29258746334124525}",Gender,30
16,0.999,8.922727234441595e-06,0.29258984895320556,"{0: 0.2925863183083162, 1: 0.29259676116631694}",Gender,30
17,0.9995,8.922727234441595e-06,0.29258984895320556,"{0: 0.2925863183083162, 1: 0.29259676116631694}",Gender,30
18,0.9999,8.922727234441595e-06,0.29258984895320556,"{0: 0.2925863183083162, 1: 0.29259676116631694}",Gender,30
